,Binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,label,Range_km_2,pop_density
22,Antilope cervicapra,36301.1,LC,Herbivore,52500,Entire range,1753994.48611898,0.029931679042028
23,Aplodontia rufa,806.21,LC,Herbivore,100000,Entire range,245502.770299076,0.407327379150052
24,Aproteles bulmerae,623.91,CR,Herbivore,222.081066279861,Entire range,48.1556768664515,4.61173179842848
25,Axis kuhlii,54999.99,CR,Herbivore,474.341649025257,Entire range,63.7977710557323,7.43508184025557
26,Babyrousa togeanensis,85000,EN,Omnivore,750,Entire range,533.083886083821,1.40690803000951
27,Bdeogale omnivora,2281.713333,VU,Insectivore,11832.1595661992,Entire range,28493.076208867,0.415264377895324
28,Beatragus hunteri,79132.17,CR,Herbivore,335.410196624968,Entire range,11330.9903946617,0.029601136788801
29,Bettongia gaimardi,1667.55,NT,Herbivore,47434.1649025257,Entire range,29083.9602246225,1.63093899648398
30,Bettongia lesueur,1447.27,NT,Omnivore,21750,Entire range,979.818030299193,22.1979993503064
31,Bettongia penicillata,1184.35,CR,Herbivore,22045.4076850486,Entire range,4058.2567549902,5.43223581355237
32,Bettongia tropica,1256.58,EN,Omnivore,10606.6017177982,Entire range,315.836116978483,33.5826118281488
33,Bison bison,624577.1,NT,Herbivore,31000,Entire range,140671.196912866,0.220372049718195
34,Bos gaurus,721000,VU,Herbivore,22912.8784747792,Entire range,1370060.89609366,0.016723985437515
35,Bos javanicus,635974.3,EN,Herbivore,8000,Entire range,156360.271041393,0.051163891867917
36,Bos mutus,650000,VU,Herbivore,12989.731521475,Entire range,469487.460415182,0.027667898754927
37,Boselaphus tragocamelus,182253,LC,Herbivore,137000,Entire range,2289572.58886097,0.059836495539176
38,Brachyteles arachnoides,10537.31,EN,Herbivore,1300,Entire range,73235.5584348023,0.017750939950261
39,Brachyteles hypoxanthus,13500,CR,Herbivore,1282.5,Entire range,96657.5473141643,0.013268493104129
40,Bubalus depressicornis,256989.3,EN,Herbivore,3750,Entire range,101169.771977253,0.037066407551489
41,Bubalus mindorensis,254389.7,CR,Herbivore,430,Entire range,71.861162169036,5.98376072722744
42,Bubalus quarlesi,181718.9,EN,Herbivore,75,Entire range,70025.9844306402,0.001071030998133
43,Burramys parvus,44.27,CR,Omnivore,3375,Entire range,1197.75206970405,2.81777847466705
44,Caenolestes condorensis,47.81,VU,NotAssigned,1500,Entire range,78.6828858929132,19.0638660869848
45,Callicebus barbarabrownae,1050,CR,Omnivore,390,Entire range,129711.747263625,0.003006666768642
46,Callicebus coimbrai,1050,EN,Omnivore,707.106781186547,Entire range,38585.3723595037,0.018325773160833
47,Camelus ferus,268000,CR,Herbivore,1425,Entire range,202125.237059338,0.00705008449579
48,Canis lupus,31756.51,LC,Carnivore,223606.797749979,Entire range,55647627.979397,0.004018262877849
49,Canis simensis,14361.86,EN,Carnivore,295.5,Entire range,6131.38199059391,0.048194681142575
50,Capra caucasica,58149.52,EN,Herbivore,5477.22557505167,Entire range,11889.5639729545,0.460675058186395
51,Capra cylindricornis,50000,NT,Herbivore,39230.090491866,Entire range,22342.8288341606,1.75582468912289
52,Capra falconeri,54303.37,NT,Herbivore,9700,Entire range,18586.0097961888,0.521897927869867
53,Capra ibex,69546.83,LC,Herbivore,47130,Entire range,15605.9357854389,3.02000473717023
54,Capra pyrenaica,60898.77,LC,Herbivore,75000,Entire range,53277.3729234551,1.40772706844525
