,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
185,Antechinus adustus,4919.76280277951,30.5,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Insectivore
186,Antechinus agilis,163711.284959117,22.13,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore
188,Antechinus flavipes,1008918.56510575,44.33,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore
189,Antechinus godmani,3599.45864879582,75.74,DASYUROMORPHIA,DASYURIDAE,Antechinus,NT,Carnivore
190,Antechinus leo,4393.22943648414,70.09,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Insectivore
191,Antechinus minimus,76278.508561735,52.56,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore
192,Antechinus stuartii,118344.864766571,29.01,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore
193,Antechinus subtropicus,9617.46736822214,46.86444444,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Insectivore
194,Antechinus swainsonii,314350.620045485,58.69,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore
195,Anthops ornatus,21294.8485104855,19.66146341,CHIROPTERA,HIPPOSIDERIDAE,Anthops,DD,Insectivore
199,Antrozous pallidus,4366863.43205567,22.24,CHIROPTERA,VESPERTILIONIDAE,Antrozous,LC,Insectivore
200,Aonyx capensis,11816824.5358487,19322.22,CARNIVORA,MUSTELIDAE,Aonyx,NT,Insectivore
201,Aonyx congicus,2924360.58054326,23800.2,CARNIVORA,MUSTELIDAE,Aonyx,NT,Insectivore
202,Aotus azarae,3156304.56878888,929.57,PRIMATES,AOTIDAE,Aotus,LC,Omnivore
203,Aotus brumbacki,123963.073398479,800,PRIMATES,AOTIDAE,Aotus,VU,Omnivore
204,Aotus griseimembra,234088.037359205,966,PRIMATES,AOTIDAE,Aotus,VU,Omnivore
205,Aotus jorgehernandezi,1186.23987062657,889.745,PRIMATES,AOTIDAE,Aotus,DD,Omnivore
206,Aotus lemurinus,177189.853194276,865.96,PRIMATES,AOTIDAE,Aotus,VU,Omnivore
207,Aotus miconax,27618.5274276239,800,PRIMATES,AOTIDAE,Aotus,VU,Omnivore
208,Aotus nancymaae,492725.85080094,791.03,PRIMATES,AOTIDAE,Aotus,VU,Omnivore
209,Aotus nigriceps,1569868.57915097,1057,PRIMATES,AOTIDAE,Aotus,LC,Omnivore
210,Aotus trivirgatus,752039.615068753,912.4,PRIMATES,AOTIDAE,Aotus,LC,Omnivore
211,Aotus vociferans,1054307.94082611,872.99,PRIMATES,AOTIDAE,Aotus,LC,Omnivore
212,Aotus zonalis,154691.939387719,902.5,PRIMATES,AOTIDAE,Aotus,DD,Omnivore
214,Apodemus agrarius,11531230.3179322,21.11,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
