binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
Arctonyx collaris,1373283.89487441,8166.52,VU,Omnivore,CARNIVORA
Ardops nichollsi,4742.70697077023,19.23,LC,Herbivore,CHIROPTERA
Arielulus aureocollaris,2503.21191605161,10.4,LC,Insectivore,CHIROPTERA
Arielulus circumdatus,170230.896246138,10.4,LC,Insectivore,CHIROPTERA
Arielulus cuprosus,2630.00493990607,10.4,VU,Insectivore,CHIROPTERA
Arielulus societatis,12278.0498955463,10.4,VU,Insectivore,CHIROPTERA
Arielulus torquatus,35902.5136024344,10.4,LC,Insectivore,CHIROPTERA
Ariteus flavescens,11021.007211026,22.96761263,LC,Omnivore,CHIROPTERA
Artibeus amplus,1641783.09229273,61.04,LC,Omnivore,CHIROPTERA
Artibeus concolor,6437731.24576267,19.65,LC,Herbivore,CHIROPTERA
Artibeus fimbriatus,1480430.65067785,63.89,LC,Omnivore,CHIROPTERA
Artibeus fraterculus,302070.729434012,29.86285714,LC,Omnivore,CHIROPTERA
Artibeus hirsutus,228810.568763086,40.42,LC,Omnivore,CHIROPTERA
Artibeus inopinatus,41135.9416537857,29.86285714,DD,Omnivore,CHIROPTERA
Artibeus jamaicensis,1559896.27509506,43.63,LC,Omnivore,CHIROPTERA
Artibeus lituratus,14235952.0813305,59.3,LC,Omnivore,CHIROPTERA
Artibeus obscurus,11122956.7403725,35.91,LC,Omnivore,CHIROPTERA
Artibeus planirostris,7906983.19382417,29.86285714,LC,Omnivore,CHIROPTERA
Arvicanthis abyssinicus,296092.651148011,73.34,LC,Herbivore,RODENTIA
Arvicanthis ansorgei,651275.417240675,110,LC,Herbivore,RODENTIA
Arvicanthis blicki,17893.7472337887,128,NT,Herbivore,RODENTIA
Arvicanthis nairobae,151138.901301628,104,LC,Herbivore,RODENTIA
Arvicanthis neumanni,1218452.18099996,85,LC,Herbivore,RODENTIA
Arvicanthis niloticus,6185272.89496408,95.8,LC,Herbivore,RODENTIA
Arvicanthis rufinus,1154420.16950807,63.85388804,LC,Herbivore,RODENTIA
Arvicola amphibius,15744124.3570178,120,LC,Omnivore,RODENTIA
Arvicola sapidus,882587.440000492,219.99,VU,Herbivore,RODENTIA
Arvicola scherman,831512.968652014,46.25861204,LC,Herbivore,RODENTIA
Asellia patrizii,227342.451504113,12.94,LC,Insectivore,CHIROPTERA
Asellia tridens,16394491.9332673,12.94,LC,Insectivore,CHIROPTERA
Aselliscus stoliczkanus,1362320.25386577,6.09,LC,Insectivore,CHIROPTERA
Aselliscus tricuspidatus,274654.198682614,4.08,LC,Insectivore,CHIROPTERA
Atelerix albiventris,7028364.2938748,293.44,LC,Omnivore,EULIPOTYPHLA
Atelerix algirus,664641.854661377,903.98,LC,Omnivore,EULIPOTYPHLA
Atelerix frontalis,1047880.24835713,329.12,LC,Omnivore,EULIPOTYPHLA
Atelerix sclateri,309001.283984667,599.998,LC,Omnivore,EULIPOTYPHLA
Ateles belzebuth,1153236.19269354,6692.42,EN,Herbivore,PRIMATES
Ateles chamek,2437475.98638023,7053.92,EN,Herbivore,PRIMATES
Ateles fusciceps,215774.487124673,9067.94,CR,Herbivore,PRIMATES
Ateles geoffroyi,901724.479336109,7582.4,EN,Herbivore,PRIMATES
Ateles hybridus,165892.102469641,8500,CR,Herbivore,PRIMATES
Ateles marginatus,524099.566815948,6229.28,EN,Herbivore,PRIMATES
Ateles paniscus,1061276.62388979,8697.25,VU,Herbivore,PRIMATES
Atelocynus microtis,2852893.50504691,8363.22,NT,Omnivore,CARNIVORA
Atherurus africanus,3544244.60586156,2875.65,LC,Omnivore,RODENTIA
Atherurus macrourus,2672201.50188077,2000,LC,Omnivore,RODENTIA
Atilax paludinosus,14049574.2886327,3600.16,LC,Omnivore,CARNIVORA
Atlantoxerus getulus,303645.312842921,250.57,LC,Herbivore,RODENTIA
Auliscomys boliviensis,210614.074624697,70.91,LC,Herbivore,RODENTIA
Auliscomys pictus,309598.290802606,48.97,LC,Herbivore,RODENTIA
Auliscomys sublimis,393512.532465639,38,LC,Herbivore,RODENTIA
Avahi betsileo,970.994226106155,1000,EN,Herbivore,PRIMATES
Avahi cleesei,2580.98849415579,5500,EN,Herbivore,PRIMATES
Avahi laniger,50685.7210922511,1092.28,VU,Herbivore,PRIMATES
Avahi meridionalis,1562.64011478785,1150,EN,Herbivore,PRIMATES
Avahi occidentalis,3056.53716309369,828.98,EN,Herbivore,PRIMATES
Avahi peyrierasi,4374.32501967188,1000,VU,Herbivore,PRIMATES
Avahi ramanantsoavanai,5832.06378471579,1628.751429,VU,Herbivore,PRIMATES
Avahi unicolor,779.721158860399,830,EN,Herbivore,PRIMATES
Axis axis,2361358.32792386,69499.99,LC,Herbivore,CETARTIODACTYLA
Axis calamianensis,1345.3223158555,39812.6,EN,Herbivore,CETARTIODACTYLA
Axis kuhlii,63.7977948471071,54999.99,CR,Herbivore,CETARTIODACTYLA
Axis porcinus,271999.92756852,37448.29,EN,Herbivore,CETARTIODACTYLA
Babyrousa babyrussa,12616.1885113527,92950.09,VU,Herbivore,CETARTIODACTYLA
Babyrousa celebensis,120738.110385538,80000,VU,Herbivore,CETARTIODACTYLA
Babyrousa togeanensis,533.083881183806,85000,EN,Omnivore,CETARTIODACTYLA
Baiomys musculus,450251.280630734,8.99,LC,Omnivore,RODENTIA
Baiomys taylori,1275181.1613497,7.43,LC,Herbivore,RODENTIA
Baiyankamys habbema,777.784062941635,141.0605074,DD,Carnivore,RODENTIA
Baiyankamys shawmayeri,65462.7746522504,141.0605074,LC,Carnivore,RODENTIA
Balantiopteryx infusca,2841.69776908418,5.27,VU,Insectivore,CHIROPTERA
Balantiopteryx io,170568.448815065,3.97,VU,Insectivore,CHIROPTERA
Balantiopteryx plicata,825040.693043908,6.57,LC,Insectivore,CHIROPTERA
Balionycteris maculata,570366.136782227,14.43,LC,Herbivore,CHIROPTERA
Bandicota bengalensis,4165485.34670988,226.99,LC,Omnivore,RODENTIA
Bandicota indica,5516458.26699615,583.09,LC,Omnivore,RODENTIA
Bandicota savilei,866576.941380816,260.63,LC,Omnivore,RODENTIA
Barbastella barbastellus,3743313.53475019,8.31,NT,Insectivore,CHIROPTERA
Barbastella leucomelas,3928012.20010759,15.05,LC,Insectivore,CHIROPTERA
Bassaricyon alleni,4449617.95820523,1235,LC,Omnivore,CARNIVORA
Bassaricyon gabbii,156420.123183927,1250,LC,Omnivore,CARNIVORA
Bassariscus astutus,3903858.5623825,1010.37,LC,Omnivore,CARNIVORA
Bassariscus sumichrasti,622177.525495866,906,LC,Omnivore,CARNIVORA
Bathyergus janetta,12034.8372163402,388.69,LC,Herbivore,RODENTIA
Bathyergus suillus,44075.9551849814,777.38,LC,Herbivore,RODENTIA
Batomys dentatus,453.87098983561,177.645,DD,Herbivore,RODENTIA
Batomys granti,5211.99661412813,169.53,LC,Herbivore,RODENTIA
Batomys russatus,826.357258820406,177.645,EN,Herbivore,RODENTIA
Batomys salomonseni,16015.5088164987,185.76,LC,Herbivore,RODENTIA
Bauerus dubiaquercus,254433.86882452,22.22,NT,Insectivore,CHIROPTERA
Bdeogale crassicauda,1497517.78997379,1722.13,LC,Carnivore,CARNIVORA
Bdeogale jacksoni,63953.3727349479,2500,NT,Carnivore,CARNIVORA
Bdeogale nigripes,2110590.77422594,2623.01,LC,Insectivore,CARNIVORA
Bdeogale omnivora,28493.0086532354,2281.713333,VU,Insectivore,CARNIVORA
Beamys hindei,337356.588740822,75.8,LC,Omnivore,RODENTIA
Beatragus hunteri,10578.2524354372,79132.17,CR,Herbivore,CETARTIODACTYLA
Belomys pearsonii,525685.017542505,590.0703713,DD,Herbivore,RODENTIA
Berylmys berdmorei,660824.556802077,235,LC,Omnivore,RODENTIA
Berylmys bowersi,2558280.01504431,358.68,LC,Omnivore,RODENTIA
Berylmys mackenziei,101468.474390153,296.84,DD,Omnivore,RODENTIA
Berylmys manipulus,214051.413257255,296.84,DD,Omnivore,RODENTIA
Bettongia gaimardi,29087.3704327375,1667.55,NT,Herbivore,DIPROTODONTIA
