,binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
3765,Pseudochirulus mayeri,84923.68045000429,151.75,LC,Herbivore,DIPROTODONTIA
3766,Pseudochirulus schlegeli,10303.0086320801,255.44,VU,Herbivore,DIPROTODONTIA
3767,Pseudohydromys ellermani,109570.371915279,21.4,LC,Insectivore,RODENTIA
3768,Pseudohydromys fuscus,66904.6496656561,18.74,LC,Insectivore,RODENTIA
3769,Pseudohydromys germani,3885.6257184219203,29.5,DD,Insectivore,RODENTIA
3770,Pseudohydromys murinus,53569.0866869633,16.79,LC,Insectivore,RODENTIA
3771,Pseudohydromys occidentalis,1118.47523189442,21.9,DD,Insectivore,RODENTIA
3773,Pseudomys albocinereus,221496.577358735,30.5,LC,Omnivore,RODENTIA
3774,Pseudomys apodemoides,35937.0065759813,23.78,LC,Omnivore,RODENTIA
3776,Pseudomys bolami,746188.584797412,15.5,LC,Omnivore,RODENTIA
3778,Pseudomys chapmani,299581.296650747,10.95,LC,Omnivore,RODENTIA
3779,Pseudomys delicatulus,1835569.11583932,8.56,LC,Omnivore,RODENTIA
3780,Pseudomys desertor,3517908.47648848,37.09,LC,Omnivore,RODENTIA
3783,Pseudomys gracilicaudatus,337741.326122917,79.53,LC,Omnivore,RODENTIA
3784,Pseudomys hermannsburgensis,3846942.82154685,13.38,LC,Omnivore,RODENTIA
3785,Pseudomys higginsi,64548.423736985,63.16,LC,Omnivore,RODENTIA
3786,Pseudomys johnsoni,766537.194133579,12.0,LC,Omnivore,RODENTIA
3787,Pseudomys nanus,1006949.82238466,70.38,LC,Omnivore,RODENTIA
3789,Pseudomys occidentalis,51491.4147061951,34.0,LC,Omnivore,RODENTIA
3791,Pseudomys patrius,404417.544405895,11.0,LC,Omnivore,RODENTIA
3792,Pseudomys pilligaensis,6939.0820657126405,10.72,DD,Omnivore,RODENTIA
3795,Pseudoryzomys simplex,3116965.44931573,45.2,LC,Omnivore,RODENTIA
3796,Ptenochirus jagori,271017.143965603,79.18,LC,Herbivore,CHIROPTERA
3797,Ptenochirus minor,118793.760829087,47.02,LC,Herbivore,CHIROPTERA
3798,Pteralopex anceps,8736.503614313679,574.75,EN,Herbivore,CHIROPTERA
3799,Pteralopex atrata,5129.574793024311,490.8,EN,Herbivore,CHIROPTERA
3800,Pteralopex flanneryi,10940.8941154804,452.2333333000001,CR,Herbivore,CHIROPTERA
3802,Pteromys momonga,168642.956319283,151.8,LC,Omnivore,RODENTIA
3803,Pteromys volans,13737442.435746199,143.09,LC,Herbivore,RODENTIA
3804,Pteromyscus pulverulentus,393205.984655493,251.3,EN,Herbivore,RODENTIA
3805,Pteronotus davyi,3471859.78980505,9.52,LC,Insectivore,CHIROPTERA
3806,Pteronotus gymnonotus,3202565.12268766,13.6,LC,Insectivore,CHIROPTERA
3807,Pteronotus macleayii,119896.66849385199,11.267999999999999,LC,Insectivore,CHIROPTERA
3808,Pteronotus paraguanensis,142.805825019753,11.267999999999999,EN,Insectivore,CHIROPTERA
3809,Pteronotus parnellii,200546.183747529,19.59,LC,Insectivore,CHIROPTERA
3810,Pteronotus personatus,4748166.26571036,7.99,LC,Insectivore,CHIROPTERA
3811,Pteronotus quadridens,200546.183747529,5.64,LC,Insectivore,CHIROPTERA
3812,Pteronura brasiliensis,6631559.75197753,26000.0,EN,Insectivore,CARNIVORA
3813,Pteropus admiralitatum,75834.5636728314,306.46,LC,Herbivore,CHIROPTERA
3815,Pteropus alecto,1427134.85531247,610.13,LC,Herbivore,CHIROPTERA
3816,Pteropus anetianus,11333.511138372,397.22,VU,Herbivore,CHIROPTERA
3817,Pteropus aruensis,7030.01806934154,452.5545,CR,Herbivore,CHIROPTERA
3818,Pteropus caniceps,22506.982460057003,525.12,VU,Herbivore,CHIROPTERA
3819,Pteropus capistratus,43318.6804682659,452.5545,NT,Herbivore,CHIROPTERA
3820,Pteropus chrysoproctus,29919.416034128702,730.19,VU,Herbivore,CHIROPTERA
3821,Pteropus cognatus,3106.6409156251802,452.5545,VU,Herbivore,CHIROPTERA
3822,Pteropus conspicillatus,219525.83998261302,760.71,LC,Herbivore,CHIROPTERA
3824,Pteropus faunulus,577.188525114173,452.5545,VU,Herbivore,CHIROPTERA
3825,Pteropus fundatus,323.70365882498,210.67,EN,Herbivore,CHIROPTERA
3826,Pteropus giganteus,4003761.09921493,824.85,LC,Herbivore,CHIROPTERA
