,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
3044,Nycteris macrotis,12089060.955197794,12089657.3643696,14.49,LC,Insectivore,CHIROPTERA
3045,Nycteris madagascariensis,50462.110728017855,50462.6603359587,17.69,DD,Insectivore,CHIROPTERA
3046,Nycteris major,2095937.9784286951,2096958.78573779,13.07636364,DD,Insectivore,CHIROPTERA
3047,Nycteris nana,2937685.0810314384,2938128.29461854,6.98,LC,Insectivore,CHIROPTERA
3048,Nycteris parisii,127126.90103715169,127127.790049401,13.07636364,DD,Insectivore,CHIROPTERA
3049,Nycteris thebaica,14391942.235966956,14392650.3924827,9.2,LC,Insectivore,CHIROPTERA
3050,Nycteris tragata,1394634.8470447198,1394635.24364866,14.4,NT,Insectivore,CHIROPTERA
3051,Nycteris vinsoni,291.64020482196463,291.640204786048,13.07636364,DD,Insectivore,CHIROPTERA
3052,Nycteris woodi,620417.6369859778,620419.003772945,7.6,LC,Insectivore,CHIROPTERA
3053,Nycticebus bengalensis,2048319.3346720894,2048341.59964701,1137.36,VU,Herbivore,PRIMATES
3054,Nycticebus coucang,630919.5583278245,630919.625737838,924.55,VU,Omnivore,PRIMATES
3055,Nycticebus javanicus,64634.27699137818,64634.3431271518,626.0,CR,Omnivore,PRIMATES
3056,Nycticebus menagensis,749207.277098531,749207.2991923791,282.0,VU,Omnivore,PRIMATES
3057,Nycticebus pygmaeus,481864.7587785384,462593.396883766,342.32,VU,Omnivore,PRIMATES
3058,Nycticeinops schlieffeni,5499493.022567752,5499879.49418038,5.05,LC,Insectivore,CHIROPTERA
3059,Nycticeius cubanus,29183.447036272442,48352.47811770519,9.12,NT,Insectivore,CHIROPTERA
3060,Nycticeius humeralis,2883009.836716179,2883260.06091831,9.12,LC,Insectivore,CHIROPTERA
3061,Nyctiellus lepidus,110184.09343649905,110184.099010717,5.516,LC,Insectivore,CHIROPTERA
3062,Nyctimene aello,621338.3526075798,621332.73951252,85.26,LC,Herbivore,CHIROPTERA
3063,Nyctimene albiventer,748029.8964789008,748029.694322921,29.95,LC,Herbivore,CHIROPTERA
3064,Nyctimene cephalotes,210869.62202145415,210869.62581313602,44.92,LC,Herbivore,CHIROPTERA
3065,Nyctimene certans,212404.3836853635,212379.56688778102,43.24,LC,Herbivore,CHIROPTERA
3066,Nyctimene cyclotis,4143.074620613201,4143.07969286115,48.83,DD,Herbivore,CHIROPTERA
3067,Nyctimene draconilla,17375.714782602885,17384.6488018724,30.15,DD,Herbivore,CHIROPTERA
3068,Nyctimene keasti,47545.65532532943,47545.664543609004,56.67,VU,Herbivore,CHIROPTERA
3069,Nyctimene major,70315.10989497902,70315.0773332566,107.06,LC,Herbivore,CHIROPTERA
3070,Nyctimene malaitensis,7178.487238675906,7178.48704118197,78.39,LC,Herbivore,CHIROPTERA
3071,Nyctimene masalai,7019.825221793436,7019.82543861298,53.2,DD,Herbivore,CHIROPTERA
3072,Nyctimene minutus,25954.601365866158,25954.6018608731,56.67,VU,Herbivore,CHIROPTERA
3073,Nyctimene rabori,19216.05263445515,19216.0537219689,68.25,EN,Herbivore,CHIROPTERA
3074,Nyctimene robinsoni,351650.7386021684,351781.04022722197,48.83,LC,Herbivore,CHIROPTERA
3075,Nyctimene sanctacrucis,501.3758690634535,501.375717298486,56.67,DD,Herbivore,CHIROPTERA
3076,Nyctimene vizcaccia,70176.72791871606,70176.7303015939,41.96,LC,Herbivore,CHIROPTERA
3077,Nyctinomops aurispinosus,3568606.8240799177,2631897.37058666,18.43,LC,Insectivore,CHIROPTERA
3078,Nyctinomops femorosaccus,1251449.2301896014,1251911.46002617,15.04,LC,Insectivore,CHIROPTERA
3079,Nyctinomops laticaudatus,13100597.391257478,13101230.903859101,13.12,LC,Insectivore,CHIROPTERA
3080,Nyctinomops macrotis,15742455.233157797,15743813.370419,16.38,LC,Insectivore,CHIROPTERA
3081,Nyctomys sumichrasti,673104.826385188,673131.859410719,59.99,LC,Herbivore,RODENTIA
3082,Nyctophilus arnhemensis,703911.7618100249,704005.7510638341,6.83,LC,Insectivore,CHIROPTERA
3083,Nyctophilus bifax,1169956.1797719412,1170332.30871499,9.89,LC,Insectivore,CHIROPTERA
3084,Nyctophilus geoffroyi,7272629.18594071,7272506.24934351,8.465,LC,Insectivore,CHIROPTERA
3085,Nyctophilus gouldi,959018.983411108,959247.79180353,11.32,LC,Insectivore,CHIROPTERA
3086,Nyctophilus heran,1252.6844041934116,1252.68454555977,8.465,DD,Insectivore,CHIROPTERA
