Intercept,BM,I_BM_2,I_BM_3,DietHerbivore,DietOmnivore,NPP,I_NPP_2,Pwq,I_Pwq_2,Pcv,I_Pcv_2
2.401948958,NA,NA,NA,-0.284117894,-0.1787739,-0.052551055,NA,NA,NA,-0.007634511,2.53823835112252E-05
2.008854844,NA,NA,NA,-0.288186073,-0.17549512,-0.055596181,NA,0.000312422,NA,NA,NA
2.32051465,NA,NA,NA,-0.285373688,-0.174408376,-0.08962334,NA,0.000737494,-3.80626093203888E-07,NA,NA
2.778342596,NA,NA,NA,-0.280592199,-0.170526789,-0.10565943,NA,0.000405502,-1.79918940303848E-07,-0.003485573,NA
2.78670854,NA,NA,NA,-0.282743446,-0.171324162,-0.096887841,NA,0.000389315,-1.65835828416511E-07,-0.007155094,2.46976735127437E-05
2.653961198,NA,NA,NA,-0.281731954,-0.170903387,-0.090802509,NA,0.00020029,NA,-0.00361649,NA
2.672526662,NA,NA,NA,-0.28385111,-0.171694899,-0.082990562,NA,0.000200152,NA,-0.007372532,2.53514076605774E-05
1.683673017,NA,NA,NA,-0.279407915,-0.176846218,NA,NA,NA,NA,-0.00374473,NA
1.798684303,NA,NA,NA,-0.282013475,-0.177854582,NA,NA,NA,NA,-0.007723457,2.67394741383655E-05
1.380948332,NA,NA,NA,-0.285752973,-0.175281789,NA,NA,0.000282017,NA,NA,NA
1.3238962,NA,NA,NA,-0.28237296,-0.174324787,NA,NA,0.000601035,-2.98680642343418E-07,NA,NA
1.598116887,NA,NA,NA,-0.277369782,-0.170762696,NA,NA,0.000251615,-8.75887805204988E-08,-0.003420384,NA
1.715169399,NA,NA,NA,-0.280038836,-0.171627371,NA,NA,0.000247874,-8.05451598884605E-08,-0.007465643,2.71885985974823E-05
1.619951347,NA,NA,NA,-0.278197816,-0.170933445,NA,NA,0.000155282,NA,-0.00349392,NA
1.73590393,NA,NA,NA,-0.280815507,-0.171789379,NA,NA,0.000159305,NA,-0.007555954,2.73413117005086E-05
1.301847238,NA,NA,NA,NA,NA,0.001051167,NA,NA,NA,NA,NA
