binomial,estimated_pop,AdultBodyMassG,estimated_mass,pop_density,Range
Antrozous pallidus,63214733.3543068,22.24,0.0014058956698,14.4735689681304,4367598.17108691
Aonyx capensis,5827141.25326027,19322.22,0.112593305266571,0.493112141531828,11817071.1334719
Aonyx congicus,1714529.12243736,23800.2,0.040806136019834,0.586278074369252,2924429.88641855
Aotus azarae,5031712.49641946,929.57,0.004677328985297,1.59084830262808,3162911.56617956
Aotus brumbacki,194912.892322004,800,0.000155930313858,1.57232783701514,123964.536996318
Aotus griseimembra,427494.972952777,966,0.000412960143872,1.82621901352497,234087.461463686
Aotus jorgehernandezi,22916.1872899428,889.745,2.03895630602902E-05,19.3183418023816,1186.23987112173
Aotus lemurinus,309579.392005099,865.96,0.000268083370301,1.74714506283052,177191.578759668
Aotus miconax,74454.1097596431,800,5.95632878077146E-05,1.25189150363937,59473.2926481231
Aotus nancymaae,659169.781872542,791.03,0.000521423072555,1.33779677468324,492727.889875963
Aotus nigriceps,2687215.2105163,1057,0.002840386477516,1.73514386711585,1548698.7917509
Aotus trivirgatus,1417180.75755066,912.4,0.001293035723189,1.88443687162688,752044.697749503
Aotus vociferans,2260722.88025422,872.99,0.001973588467233,2.22293890869456,1016997.30541936
Aotus zonalis,910611.377462685,902.5,0.00082182676816,5.8866165260017,154691.812086015
Aplodontia rufa,100000,806.21,8.0621E-05,0.407378654018777,245471.869999823
Apodemus agrarius,188671332.189402,21.11,0.003982851822518,16.3617064345032,11531274.7447623
Apodemus alpicola,1411040.66126462,28.055,3.95867457517788E-05,12.7322481964411,110824.15607159
Apodemus argenteus,16049140.4510558,15,0.000240737106766,43.7869335435227,366528.074753249
Apodemus chevrieri,7138171.9750018,32.9,0.000234845857978,9.90860077271195,720401.612572801
Apodemus draco,21517658.7533819,22.25,0.000478767907263,11.963784557521,1798566.2187351
Apodemus epimelas,2807875.38449449,63.85388804,0.000179293760432,16.1272431382034,174107.586797832
Apodemus flavicollis,106844955.505504,31.6,0.003376300593974,17.6116453939953,6066721.93967364
